Storm_ID,Central_Pressure_Deficit,Heading_Direction,Radius_of_Maximum_Wind,Reference_Latitude,Reference_Longitude,Translational_Speed
1,88,-60,39,35.2,-76.52,18
2,78,-60,108,35.2,-76.52,29
3,68,-60,62,35.2,-76.52,42
4,58,-60,47,35.2,-76.52,32
5,48,-60,64,35.2,-76.52,12
6,38,-60,72,35.2,-76.52,19
7,28,-60,26,35.2,-76.52,39
8,88,-60,114,35.54,-75.92,25
9,78,-60,51,35.54,-75.92,30
10,68,-60,26,35.54,-75.92,31
11,58,-60,37,35.54,-75.92,12
12,48,-60,77,35.54,-75.92,44
13,38,-60,72,35.54,-75.92,13
14,28,-60,39,35.54,-75.92,39
15,88,-60,105,36.04,-75.67,24
16,78,-60,50,36.04,-75.67,30
17,68,-60,39,36.04,-75.67,12
18,58,-60,26,36.04,-75.67,29
19,48,-60,82,36.04,-75.67,44
20,38,-60,68,36.04,-75.67,15
21,28,-60,42,36.04,-75.67,40
22,88,-60,50,36.79,-75.96,40
23,78,-60,51,36.79,-75.96,29
24,68,-60,107,36.79,-75.96,26
25,58,-60,65,36.79,-75.96,12
26,48,-60,28,36.79,-75.96,34
27,38,-60,37,36.79,-75.96,13
28,28,-60,75,36.79,-75.96,38
29,88,-60,77,37.37,-75.89,37
30,78,-60,35,37.37,-75.89,26
31,68,-60,62,37.37,-75.89,12
32,58,-60,109,37.37,-75.89,25
33,48,-60,49,37.37,-75.89,25
34,38,-60,58,37.37,-75.89,40
35,28,-60,25,37.37,-75.89,35
36,88,-60,72,37.8,-75.51,31
37,78,-60,38,37.8,-75.51,27
38,68,-60,53,37.8,-75.51,35
39,58,-60,105,37.8,-75.51,28
40,48,-60,64,37.8,-75.51,14
41,38,-60,25,37.8,-75.51,28
42,28,-60,61,37.8,-75.51,46
43,88,-60,50,38.23,-75.14,37
44,78,-60,78,38.23,-75.14,12
45,68,-60,104,38.23,-75.14,35
46,58,-60,41,38.23,-75.14,12
47,48,-60,25,38.23,-75.14,31
48,38,-60,48,38.23,-75.14,20
49,28,-60,71,38.23,-75.14,33
50,88,-60,47,38.89,-75.27,18
51,78,-60,75,38.89,-75.27,40
52,68,-60,104,38.89,-75.27,21
53,58,-60,41,38.89,-75.27,39
54,48,-60,67,38.89,-75.27,36
55,38,-60,25,38.89,-75.27,19
56,28,-60,58,38.89,-75.27,13
57,88,-40,53,35.38,-76.48,20
58,78,-40,105,35.38,-76.48,21
59,68,-40,29,35.38,-76.48,22
60,58,-40,73,35.38,-76.48,41
61,48,-40,51,35.38,-76.48,40
62,38,-40,38,35.38,-76.48,36
63,28,-40,65,35.38,-76.48,12
64,88,-40,54,35.57,-75.8,30
65,78,-40,104,35.57,-75.8,30
66,68,-40,37,35.57,-75.8,12
67,58,-40,29,35.57,-75.8,38
68,48,-40,80,35.57,-75.8,13
69,38,-40,63,35.57,-75.8,47
70,28,-40,50,35.57,-75.8,23
71,88,-40,44,36.41,-75.83,24
72,78,-40,66,36.41,-75.83,45
73,68,-40,117,36.41,-75.83,25
74,58,-40,52,36.41,-75.83,17
75,48,-40,26,36.41,-75.83,20
76,38,-40,39,36.41,-75.83,41
77,28,-40,74,36.41,-75.83,23
78,88,-40,69,37.26,-75.86,43
79,78,-40,53,37.26,-75.86,16
80,68,-40,37,37.26,-75.86,42
81,58,-40,103,37.26,-75.86,23
82,48,-40,29,37.26,-75.86,19
83,38,-40,62,37.26,-75.86,38
84,28,-40,60,37.26,-75.86,25
85,88,-40,53,37.77,-75.53,35
86,78,-40,79,37.77,-75.53,22
87,68,-40,32,37.77,-75.53,22
88,58,-40,105,37.77,-75.53,28
89,48,-40,55,37.77,-75.53,12
90,38,-40,31,37.77,-75.53,47
91,28,-40,59,37.77,-75.53,39
92,88,-40,53,38.24,-75.17,21
93,78,-40,42,38.24,-75.17,22
94,68,-40,115,38.24,-75.17,40
95,58,-40,25,38.24,-75.17,33
96,48,-40,83,38.24,-75.17,24
97,38,-40,50,38.24,-75.17,45
98,28,-40,46,38.24,-75.17,13
99,88,-40,65,39.26,-75.41,16
100,78,-40,54,39.26,-75.41,44
